ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001669191-21-000664	27	MT
0001669191-21-000664	28	NE
0001669191-21-000664	29	NV
0001669191-21-000664	30	NH
0001669191-21-000664	31	NJ
0001669191-21-000664	32	NM
0001669191-21-000664	33	NY
0001669191-21-000664	34	NC
0001669191-21-000664	35	ND
0001669191-21-000664	36	OH
0001669191-21-000664	37	OK
0001669191-21-000664	38	OR
0001669191-21-000664	39	PA
0001669191-21-000664	40	RI
0001669191-21-000664	41	SC
0001669191-21-000664	42	SD
0001669191-21-000664	43	TN
0001665160-21-001203	44	TN
0001665160-21-001203	43	SD
0001665160-21-001203	46	UT
0001665160-21-001203	47	VT
0001665160-21-001203	48	VA
0001665160-21-001203	49	WA
0001665160-21-001203	50	WV
0001665160-21-001203	51	WI
0001665160-21-001203	52	WY
0001665160-21-001203	1	AL
0001665160-21-001203	2	AK
0001665160-21-001203	3	AZ
0001665160-21-001203	4	AR
0001665160-21-001203	5	CA
0001665160-21-001203	6	CO
0001665160-21-001203	7	CT
0001665160-21-001203	8	DE
0001665160-21-001203	9	DC
0001665160-21-001203	10	FL
0001665160-21-001203	11	GA
0001665160-21-001203	12	HI
0001665160-21-001203	13	ID
0001665160-21-001203	14	IL
0001665160-21-001203	15	IN
0001665160-21-001203	16	IA
0001665160-21-001203	17	KS
0001665160-21-001203	18	KY
0001665160-21-001203	19	LA
0001665160-21-001203	20	ME
0001665160-21-001203	21	MD
0001665160-21-001203	22	MA
0001665160-21-001203	23	MI
0001665160-21-001203	24	MN
0001665160-21-001203	25	MS
0001665160-21-001203	26	MO
0001665160-21-001203	27	MT
0001665160-21-001203	28	NE
0001665160-21-001203	29	NV
0001665160-21-001203	30	NH
0001665160-21-001203	31	NJ
0001665160-21-001203	32	NM
0001665160-21-001203	33	NY
0001665160-21-001203	34	NC
0001665160-21-001203	35	ND
0001665160-21-001203	36	OH
0001665160-21-001203	37	OK
0001665160-21-001203	38	OR
0001665160-21-001203	39	PA
0001665160-21-001203	40	PR
0001665160-21-001203	41	RI
0001665160-21-001203	42	SC
0001665160-21-001203	45	TX
0001670254-21-000762	8	DE
0001670254-21-000762	56	1V
0001670254-21-000762	10	FL
0001670254-21-000762	11	GA
0001670254-21-000762	12	HI
0001670254-21-000762	13	ID
0001670254-21-000762	14	IL
0001670254-21-000762	15	IN
0001670254-21-000762	16	IA
0001670254-21-000762	17	KS
0001670254-21-000762	18	KY
0001670254-21-000762	19	LA
0001670254-21-000762	20	ME
0001670254-21-000762	21	MD
0001670254-21-000762	22	MA
0001670254-21-000762	23	MI
0001670254-21-000762	24	MN
0001670254-21-000762	25	MS
0001670254-21-000762	26	MO
0001670254-21-000762	27	MT
0001670254-21-000762	28	NE
0001670254-21-000762	29	NV
0001670254-21-000762	30	NH
0001670254-21-000762	31	NJ
0001670254-21-000762	32	NM
0001670254-21-000762	33	NY
0001670254-21-000762	34	NC
0001670254-21-000762	35	ND
0001670254-21-000762	36	OH
0001670254-21-000762	37	OK
0001670254-21-000762	38	OR
0001670254-21-000762	39	PA
0001670254-21-000762	1	AL
0001670254-21-000762	2	AK
0001670254-21-000762	3	AZ
0001670254-21-000762	4	AR
0001670254-21-000762	5	CA
0001670254-21-000762	6	CO
0001670254-21-000762	7	CT
0001670254-21-000762	40	RI
