ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001230	1			Gryphon Online Safety I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001227	1			The China Project I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001219	1			Thryv I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001219	2			Thryv I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001228	1			Fathom Technologies I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001228	2			Fathom Technologies I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001220	1			Heybaby I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001232	2			Abillion I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001232	1			Abillion I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001220	2			Heybaby I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001225	1			Blue Earth Compost, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001225	2			Blue Earth Compost, Inc. I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001217	2			Lightgliders I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001217	1			Lightgliders I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001216	1			WeShape I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001214	1			Sienna Sauce II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001096906-22-002866	1			Ourobio CF SPV 2022, LLC	Limited Liability Company		VA	07-SEP-2022	12100 Serenity Pl		Nokesville	VA	20181-3645	
0001670254-22-001212	1			Rightstars I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001212	2			Rightstars I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001210	2			Mariposa Technology, Inc. I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001210	1			Mariposa Technology, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
